listing_year,state,year,vehicle_type,avg_price,n_listings,dep_annual_rate,n_make_model_year
2020,CO,2011,minivan,13062.950429947292,248,0.08625798461613687,2709
2020,CO,2011,pickup,23910.729707626215,1567,0.08625798461613687,2709
2020,CO,2011,suv,19824.747131890505,1329,0.08625798461613687,2709
2020,CO,2012,car,12365.886811188308,3225,0.08625798461613687,2709
2020,CO,2012,cuv,14911.803873671994,2245,0.08625798461613687,2709
2020,CO,2012,minivan,13682.58933217448,247,0.08625798461613687,2709
2020,CO,2012,pickup,26366.10592120921,1800,0.08625798461613687,2709
2020,CO,2012,suv,22032.267078277015,1531,0.08625798461613687,2709
2020,CO,2013,car,13925.39947708231,4252,0.08625798461613687,2709
2020,CO,2013,cuv,16893.286534902625,3131,0.08625798461613687,2709
2020,CO,2013,minivan,14991.982804256766,240,0.08625798461613687,2709
2020,CO,2013,pickup,27646.808832964038,2246,0.08625798461613687,2709
2020,CO,2013,suv,24559.966413499005,1586,0.08625798461613687,2709
2020,CO,2014,car,16223.646352136511,4597,0.08625798461613687,2709
2020,CO,2014,cuv,18709.813282279163,3333,0.08625798461613687,2709
2020,CO,2014,minivan,17240.96691924188,334,0.08625798461613687,2709
2020,CO,2014,pickup,30919.84490021278,3085,0.08625798461613687,2709
2020,CO,2014,suv,27082.460811175857,2110,0.08625798461613687,2709
2020,CO,2015,car,18113.643797875502,4953,0.08625798461613687,2709
2020,CO,2015,cuv,21722.49263910041,3619,0.08625798461613687,2709
2020,CO,2015,minivan,20299.86334125918,319,0.08625798461613687,2709
2020,CO,2015,pickup,35691.8905222036,3427,0.08625798461613687,2709
2020,CO,2015,suv,32341.69124283464,2781,0.08625798461613687,2709
2020,CO,2016,cuv,25234.864938545204,5595,0.08625798461613687,2709
2020,CO,2016,minivan,21803.314906644744,389,0.08625798461613687,2709
2020,CO,2016,car,20957.434791871587,6636,0.08625798461613687,2709
2020,CO,2016,pickup,38329.9534322269,4184,0.08625798461613687,2709
2020,CO,2016,suv,37256.9295554503,3015,0.08625798461613687,2709
2020,CO,2017,cuv,28385.168495202277,16552,0.08625798461613687,2709
2020,CO,2017,car,23026.03488710981,14312,0.08625798461613687,2709
2020,CO,2017,minivan,27681.243548364815,721,0.08625798461613687,2709
2020,CO,2017,pickup,42061.88320087097,6805,0.08625798461613687,2709
2020,CO,2017,suv,37706.435311962894,5827,0.08625798461613687,2709
2020,CO,2018,car,24485.20978366271,7742,0.08625798461613687,2709
2020,CO,2018,cuv,30221.581249328185,7889,0.08625798461613687,2709
2020,CO,2018,minivan,27971.623591991636,580,0.08625798461613687,2709
2020,CO,2018,pickup,44666.019476925445,5912,0.08625798461613687,2709
2020,CO,2018,suv,43992.16169222916,3173,0.08625798461613687,2709
