listing_year,state,year,vehicle_type,avg_price,n_listings,n_make_model_year
2018,MS,2016,minivan,36229.22913277645,3,473
2018,MS,2016,pickup,51842.68007868407,11,473
2018,MS,2016,suv,64222.95410747241,2,473
2018,MS,2016,car,33869.418448117074,29,473
2018,MS,2016,cuv,27844.505859208257,5,473
2018,MS,2017,car,31333.306121832615,1088,473
2018,MS,2017,cuv,40011.564451386555,773,473
2018,MS,2017,minivan,42625.037953462204,92,473
2018,MS,2017,pickup,50153.22537640444,1047,473
2018,MS,2017,suv,61935.21686004398,449,473
2018,MS,2018,car,32430.708851921136,11933,473
2018,MS,2018,cuv,39422.543622783094,10854,473
2018,MS,2018,minivan,43997.950570824534,583,473
2018,MS,2018,pickup,51664.799909933754,10440,473
2018,MS,2018,suv,62906.97769449916,4929,473
2018,MS,2019,car,34988.13409253411,2074,473
2018,MS,2019,cuv,44908.68408338634,2274,473
2018,MS,2019,minivan,47815.19098029788,273,473
2018,MS,2019,pickup,57557.73346032394,1956,473
2018,MS,2019,suv,55139.17949341823,1237,473
2018,MT,2016,cuv,46332.075594520174,12,495
2018,MT,2016,car,52578.67366990049,38,495
2018,MT,2016,pickup,55067.519395582305,5,495
2018,MT,2016,suv,49290.08868220906,1,495
2018,MT,2016,minivan,39400.71975442171,2,495
2018,MT,2017,car,36611.321738171406,884,495
2018,MT,2017,cuv,41792.32339833964,641,495
2018,MT,2017,minivan,44233.301504502015,50,495
2018,MT,2017,pickup,54413.18856307979,485,495
2018,MT,2017,suv,67795.5050143973,230,495
2018,MT,2018,car,37141.54349744209,11305,495
2018,MT,2018,cuv,42754.573206978996,14330,495
2018,MT,2018,minivan,47044.0466087041,874,495
2018,MT,2018,pickup,55977.39290808603,8346,495
2018,MT,2018,suv,62463.816809055454,4358,495
2018,MT,2019,car,41980.77341692837,1943,495
2018,MT,2019,cuv,48969.47877123091,2699,495
2018,MT,2019,minivan,49592.7261913563,271,495
2018,MT,2019,pickup,60462.79830042012,1831,495
2018,MT,2019,suv,53154.23366428179,1275,495
2018,NC,2016,car,31043.184733193833,575,612
2018,NC,2016,cuv,36695.8348094291,127,612
2018,NC,2016,pickup,51086.07420277881,48,612
2018,NC,2016,suv,64881.22309735675,17,612
2018,NC,2016,minivan,32650.334617237633,6,612
2018,NC,2017,car,32115.964107887736,5866,612
2018,NC,2017,cuv,38360.782646912456,4172,612
2018,NC,2017,minivan,40508.999590427054,360,612
2018,NC,2017,pickup,47636.07408266133,3579,612
2018,NC,2017,suv,62728.2542580349,1731,612
2018,NC,2018,car,34277.86683548859,71606,612
2018,NC,2018,cuv,42058.800234824084,68826,612
2018,NC,2018,minivan,46107.03766051931,4622,612
2018,NC,2018,pickup,51137.958889018206,36561,612
2018,NC,2018,suv,61735.20833962747,22935,612
2018,NC,2019,car,38075.654428513495,14279,612
2018,NC,2019,cuv,49182.58735626568,15996,612
2018,NC,2019,minivan,49149.71229116544,2109,612
2018,NC,2019,pickup,55892.203548149046,6832,612
2018,NC,2019,suv,56189.031912737155,5876,612
2018,ND,2016,car,56018.88508337715,3,373
2018,ND,2017,car,38151.523116133074,216,373
2018,ND,2017,pickup,53195.21407377914,267,373
2018,ND,2017,suv,65138.35371879914,102,373
2018,ND,2017,cuv,39054.34280270961,243,373
2018,ND,2017,minivan,44400.10614451496,40,373
2018,ND,2018,car,33343.63076962267,2719,373
2018,ND,2018,minivan,45082.03906706448,323,373
2018,ND,2018,pickup,56302.96290533452,6311,373
2018,ND,2018,cuv,41849.62051010046,5393,373
2018,ND,2018,suv,66745.90158104902,1957,373
2018,ND,2019,car,37847.53749934969,338,373
2018,ND,2019,pickup,60862.53418062166,1092,373
2018,ND,2019,cuv,46967.20430304698,1376,373
2018,ND,2019,suv,62690.23737714644,583,373
2018,ND,2019,minivan,46737.968911976204,66,373
2018,NE,2016,car,32429.59131411857,18,500
2018,NE,2016,pickup,53801.57793650535,10,500
2018,NE,2016,cuv,42250.35454995398,6,500
2018,NE,2016,suv,91550.6569650214,3,500
