year,state,powertrain,count
2016,Nevada,Gasoline,1923600
2016,Nevada,Hybrid Electric (HEV),30700
2016,Nevada,Methanol,0
2016,Nevada,Plug-In Hybrid Electric (PHEV),1400
2016,Nevada,Propane,0
2016,Nevada,Unknown,36000
2016,New Hampshire,Battery Electric (BEV),400
2016,New Hampshire,Biodiesel,0
2016,New Hampshire,Compressed Natural Gas (CNG),1800
2016,New Hampshire,Diesel,34300
2016,New Hampshire,Flex Fuel (E85),100900
2016,New Hampshire,Fuel Cell,0
2016,New Hampshire,Gasoline,1132600
2016,New Hampshire,Hybrid Electric (HEV),19200
2016,New Hampshire,Methanol,0
2016,New Hampshire,Plug-In Hybrid Electric (PHEV),1000
2016,New Hampshire,Propane,0
2016,New Hampshire,Unknown,16900
2016,New Jersey,Battery Electric (BEV),4200
2016,New Jersey,Biodiesel,0
2016,New Jersey,Compressed Natural Gas (CNG),4400
2016,New Jersey,Diesel,111500
2016,New Jersey,Flex Fuel (E85),470400
2016,New Jersey,Fuel Cell,0
2016,New Jersey,Gasoline,6001300
2016,New Jersey,Hybrid Electric (HEV),80900
2016,New Jersey,Methanol,0
2016,New Jersey,Plug-In Hybrid Electric (PHEV),5500
2016,New Jersey,Propane,0
2016,New Jersey,Unknown,51600
2016,New Mexico,Battery Electric (BEV),500
2016,New Mexico,Biodiesel,0
2016,New Mexico,Compressed Natural Gas (CNG),7800
2016,New Mexico,Diesel,88400
2016,New Mexico,Flex Fuel (E85),142300
2016,New Mexico,Fuel Cell,0
2016,New Mexico,Gasoline,1375900
2016,New Mexico,Hybrid Electric (HEV),20800
2016,New Mexico,Methanol,0
2016,New Mexico,Plug-In Hybrid Electric (PHEV),600
2016,New Mexico,Propane,0
2016,New Mexico,Unknown,37200
2016,New York,Battery Electric (BEV),6100
2016,New York,Biodiesel,0
2016,New York,Compressed Natural Gas (CNG),10200
2016,New York,Diesel,191300
2016,New York,Flex Fuel (E85),895500
2016,New York,Fuel Cell,0
2016,New York,Gasoline,10013300
2016,New York,Hybrid Electric (HEV),166500
2016,New York,Methanol,0
2016,New York,Plug-In Hybrid Electric (PHEV),12100
2016,New York,Propane,0
2016,New York,Unknown,112600
2016,North Carolina,Battery Electric (BEV),2900
2016,North Carolina,Biodiesel,0
2016,North Carolina,Compressed Natural Gas (CNG),26100
2016,North Carolina,Diesel,218900
2016,North Carolina,Flex Fuel (E85),642800
2016,North Carolina,Fuel Cell,0
2016,North Carolina,Gasoline,7095700
2016,North Carolina,Hybrid Electric (HEV),107400
2016,North Carolina,Methanol,0
2016,North Carolina,Plug-In Hybrid Electric (PHEV),3600
2016,North Carolina,Propane,0
2016,North Carolina,Unknown,108900
2016,North Dakota,Battery Electric (BEV),0
2016,North Dakota,Biodiesel,0
2016,North Dakota,Compressed Natural Gas (CNG),5100
2016,North Dakota,Diesel,51900
2016,North Dakota,Flex Fuel (E85),118500
2016,North Dakota,Fuel Cell,0
2016,North Dakota,Gasoline,566300
2016,North Dakota,Hybrid Electric (HEV),3400
2016,North Dakota,Methanol,0
2016,North Dakota,Plug-In Hybrid Electric (PHEV),100
2016,North Dakota,Propane,0
2016,North Dakota,Unknown,20200
2016,Ohio,Battery Electric (BEV),2600
2016,Ohio,Biodiesel,0
2016,Ohio,Compressed Natural Gas (CNG),21600
2016,Ohio,Diesel,209700
2016,Ohio,Flex Fuel (E85),909400
2016,Ohio,Fuel Cell,0
2016,Ohio,Gasoline,8740000
2016,Ohio,Hybrid Electric (HEV),91900
2016,Ohio,Methanol,0
2016,Ohio,Plug-In Hybrid Electric (PHEV),4400
2016,Ohio,Propane,0
2016,Ohio,Unknown,109200
2016,Oklahoma,Battery Electric (BEV),600
2016,Oklahoma,Biodiesel,0
2016,Oklahoma,Compressed Natural Gas (CNG),20300
2016,Oklahoma,Diesel,171700
2016,Oklahoma,Flex Fuel (E85),599800
2016,Oklahoma,Fuel Cell,0
2016,Oklahoma,Gasoline,3277300
2016,Oklahoma,Hybrid Electric (HEV),24800
2016,Oklahoma,Methanol,0
2016,Oklahoma,Plug-In Hybrid Electric (PHEV),700
2016,Oklahoma,Propane,0
2016,Oklahoma,Unknown,73100
2016,Oregon,Battery Electric (BEV),7700
2016,Oregon,Biodiesel,0
2016,Oregon,Compressed Natural Gas (CNG),15500
2016,Oregon,Diesel,220300
2016,Oregon,Flex Fuel (E85),168600
2016,Oregon,Fuel Cell,0
2016,Oregon,Gasoline,3077900
2016,Oregon,Hybrid Electric (HEV),83300
2016,Oregon,Methanol,0
2016,Oregon,Plug-In Hybrid Electric (PHEV),4300
2016,Oregon,Propane,0
2016,Oregon,Unknown,100900
2016,Pennsylvania,Battery Electric (BEV),3200
2016,Pennsylvania,Biodiesel,0
2016,Pennsylvania,Compressed Natural Gas (CNG),15300
2016,Pennsylvania,Diesel,223100
2016,Pennsylvania,Flex Fuel (E85),776400
2016,Pennsylvania,Fuel Cell,0
2016,Pennsylvania,Gasoline,8767400
2016,Pennsylvania,Hybrid Electric (HEV),103200
2016,Pennsylvania,Methanol,0
2016,Pennsylvania,Plug-In Hybrid Electric (PHEV),5400
2016,Pennsylvania,Propane,0
2016,Pennsylvania,Unknown,90200
2016,Rhode Island,Battery Electric (BEV),300
2016,Rhode Island,Biodiesel,0
2016,Rhode Island,Compressed Natural Gas (CNG),700
2016,Rhode Island,Diesel,14000
2016,Rhode Island,Flex Fuel (E85),44300
2016,Rhode Island,Fuel Cell,0
2016,Rhode Island,Gasoline,778200
2016,Rhode Island,Hybrid Electric (HEV),11000
2016,Rhode Island,Methanol,0
2016,Rhode Island,Plug-In Hybrid Electric (PHEV),600
2016,Rhode Island,Propane,0
2016,Rhode Island,Unknown,8500
2016,South Carolina,Battery Electric (BEV),800
2016,South Carolina,Biodiesel,0
2016,South Carolina,Compressed Natural Gas (CNG),16100
2016,South Carolina,Diesel,102900
2016,South Carolina,Flex Fuel (E85),373900
2016,South Carolina,Fuel Cell,0
2016,South Carolina,Gasoline,3814700
2016,South Carolina,Hybrid Electric (HEV),39300
2016,South Carolina,Methanol,0
2016,South Carolina,Plug-In Hybrid Electric (PHEV),1200
2016,South Carolina,Propane,0
2016,South Carolina,Unknown,67900
2016,South Dakota,Battery Electric (BEV),100
2016,South Dakota,Biodiesel,0
2016,South Dakota,Compressed Natural Gas (CNG),5700
2016,South Dakota,Diesel,56200
2016,South Dakota,Flex Fuel (E85),113100
2016,South Dakota,Fuel Cell,0
2016,South Dakota,Gasoline,667200
2016,South Dakota,Hybrid Electric (HEV),5300
2016,South Dakota,Methanol,0
2016,South Dakota,Plug-In Hybrid Electric (PHEV),200
2016,South Dakota,Propane,0
2016,South Dakota,Unknown,24200
2016,Tennessee,Battery Electric (BEV),2600
2016,Tennessee,Biodiesel,0
2016,Tennessee,Compressed Natural Gas (CNG),21300
2016,Tennessee,Diesel,137900
2016,Tennessee,Flex Fuel (E85),442400
2016,Tennessee,Fuel Cell,0
2016,Tennessee,Gasoline,4772600
2016,Tennessee,Hybrid Electric (HEV),48400
2016,Tennessee,Methanol,0
2016,Tennessee,Plug-In Hybrid Electric (PHEV),1700
2016,Tennessee,Propane,0
2016,Tennessee,Unknown,59800
2016,Texas,Battery Electric (BEV),11900
2016,Texas,Biodiesel,0
2016,Texas,Compressed Natural Gas (CNG),64700
2016,Texas,Diesel,961200
2016,Texas,Flex Fuel (E85),2596600
2016,Texas,Fuel Cell,0
2016,Texas,Gasoline,18245400
2016,Texas,Hybrid Electric (HEV),205800
2016,Texas,Methanol,0
2016,Texas,Plug-In Hybrid Electric (PHEV),8000
2016,Texas,Propane,0
2016,Texas,Unknown,213100
2016,United States,Battery Electric (BEV),280300
2016,United States,Biodiesel,0
2016,United States,Compressed Natural Gas (CNG),721600
2016,United States,Diesel,7734000
2016,United States,Flex Fuel (E85),22138300
2016,United States,Fuel Cell,1300
2016,United States,Gasoline,224855100
2016,United States,Hybrid Electric (HEV),3741600
2016,United States,Methanol,500
2016,United States,Plug-In Hybrid Electric (PHEV),254000
2016,United States,Propane,0
2016,United States,Unknown,3000600
2016,Utah,Battery Electric (BEV),2500
2016,Utah,Biodiesel,0
2016,Utah,Compressed Natural Gas (CNG),10800
2016,Utah,Diesel,150800
