listing_year,inventory_type,group_var,group_level,category_var,category_level,p
2018,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.6347849804527684
2020,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.6128248545976588
2023,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.09804567930303744
2024,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.10230046948356808
2022,New,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,CUV,0.04741694716815455
2021,Used,powertrain,Gasoline,vehicle_type,Minivan,0.6154171662317511
2020,Used,powertrain,Gasoline,vehicle_type,Minivan,0.6514270288841444
2018,Used,powertrain,Gasoline,vehicle_type,Minivan,0.6905779313270903
2019,Used,powertrain,Gasoline,vehicle_type,Minivan,0.6872476345446875
2022,Used,powertrain,Gasoline,vehicle_type,Minivan,0.5867739541424163
2024,Used,powertrain,Gasoline,vehicle_type,Minivan,0.5844148762133275
2023,Used,powertrain,Gasoline,vehicle_type,Minivan,0.5865438352953902
2021,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.25798716411594613
2020,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.2331100149696925
2018,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.2161105555050459
2019,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.24118604230699692
2021,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.3113318380860835
2019,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.05205359103887547
2020,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.06146063182821161
2018,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.005043859649122807
2018,New,powertrain,Gasoline,vehicle_type,Car,0.8786184210526315
2021,New,powertrain,Gasoline,vehicle_type,Car,0.8407027662074121
2020,New,powertrain,Gasoline,vehicle_type,Car,0.8564124643452989
2019,New,powertrain,Gasoline,vehicle_type,Car,0.8641005930155942
