age_bin,powertrain,vehicle_type,quantile,miles
172.5,all,cuv,75,163610.907854054
175.5,all,cuv,25,112456.9716092714
175.5,all,cuv,50,140281.81512803346
175.5,all,cuv,75,168213.94034983896
178.5,all,cuv,25,111915.07756422355
178.5,all,cuv,50,139521.76676847498
178.5,all,cuv,75,168160.34928092835
181.5,all,cuv,25,113328.26538461538
181.5,all,cuv,50,142741.9769820972
181.5,all,cuv,75,167999.23992673995
1.5,all,minivan,25,6.19327731092437
1.5,all,minivan,50,17.491124260355033
1.5,all,minivan,75,1217.8736772486773
4.5,all,minivan,25,11.795135688684077
4.5,all,minivan,50,710.8484336263242
4.5,all,minivan,75,4020.7285714285717
7.5,all,minivan,25,255.1439778503994
7.5,all,minivan,50,3907.6610314419745
7.5,all,minivan,75,11561.678855041293
10.5,all,minivan,25,1672.397351118753
10.5,all,minivan,50,7594.058436402308
10.5,all,minivan,75,14929.969923655737
13.5,all,minivan,25,5325.057903412366
13.5,all,minivan,50,11855.471961779247
13.5,all,minivan,75,18663.800346057185
16.5,all,minivan,25,8549.300833198811
16.5,all,minivan,50,17053.770449986758
16.5,all,minivan,75,24737.70327928768
19.5,all,minivan,25,13843.90698333831
19.5,all,minivan,50,22769.87915878939
19.5,all,minivan,75,32016.913893267778
22.5,all,minivan,25,17019.926615216762
22.5,all,minivan,50,25917.099280655195
22.5,all,minivan,75,36577.59704982909
25.5,all,minivan,25,20760.66705877115
25.5,all,minivan,50,33087.04894664817
25.5,all,minivan,75,41493.09907794705
28.5,all,minivan,25,25860.62353069742
28.5,all,minivan,50,38554.25196244218
28.5,all,minivan,75,45820.00876595999
31.5,all,minivan,25,28836.73228673851
31.5,all,minivan,50,41586.80085003659
31.5,all,minivan,75,48690.55397316372
34.5,all,minivan,25,26108.70674836872
34.5,all,minivan,50,40928.38601708331
34.5,all,minivan,75,52732.66832123798
37.5,all,minivan,25,27501.979922046317
37.5,all,minivan,50,41924.087261094304
37.5,all,minivan,75,60358.73350826674
40.5,all,minivan,25,29142.452268147685
40.5,all,minivan,50,42266.176332988915
40.5,all,minivan,75,62131.90400483463
43.5,all,minivan,25,29407.221413298943
43.5,all,minivan,50,41189.81696235037
43.5,all,minivan,75,61213.76574568944
46.5,all,minivan,25,29801.957135527653
46.5,all,minivan,50,40596.9463260786
46.5,all,minivan,75,59786.8203000634
49.5,all,minivan,25,30351.091355388042
49.5,all,minivan,50,41566.064424503624
49.5,all,minivan,75,61167.16776276946
52.5,all,minivan,25,32144.172482890084
